Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank
Jay Huff,IND,C,82.0,21.0,9.5,1.5,0.9,3.1,4.0,0.5,1.9,0.9,2.4,0.476,1.5,4.5,0.319,0.574,15.2,0.598,18.0,-0.9,1.3,0.4,1.1,2349578.0,16.285714285714285,2.571428571428571,5.314285714285714,1.542857142857143,0.8571428571428571,3.257142857142857,1.542857142857143,4.114285714285714,38.95714285714285,42.71208707142857,False,0.027864795470637867,27.864795470637866,165.0,37.0
Justin Champagnie,WAS,SF,69.0,20.0,8.7,1.2,2.1,3.5,5.6,0.9,0.6,0.7,1.7,0.502,0.8,2.4,0.319,0.56,17.3,0.589,16.7,0.6,-1.0,-0.4,0.6,2349578.0,15.659999999999998,2.16,6.3,3.7800000000000002,1.6199999999999999,1.08,1.2599999999999998,3.0599999999999996,40.653,42.69760977224999,False,0.027855350673901436,27.855350673901434,166.0,38.0
Devin Carter,SAC,PG,38.0,18.4,8.9,2.7,0.9,2.3,3.3,0.9,0.2,1.4,1.3,0.414,0.8,3.0,0.263,0.466,13.8,0.508,23.5,-1.5,-1.2,-2.6,-0.1,4923720.0,17.41304347826087,5.282608695652175,4.5,1.7608695652173914,1.7608695652173914,0.39130434782608703,2.739130434782609,2.5434782608695654,41.84021739130436,42.572345038043494,False,0.019185843584435307,19.185843584435307,167.0,107.0
Jaylon Tyson,CLE,SG,66.0,26.9,13.2,2.2,1.8,3.3,5.1,0.8,0.4,1.5,2.5,0.493,2.0,4.5,0.446,0.592,14.8,0.608,19.3,0.6,-0.5,0.1,0.9,3492480.0,17.665427509293682,2.944237918215614,4.4163568773234205,2.408921933085502,1.0706319702602232,0.5353159851301116,2.0074349442379185,3.345724907063197,38.56282527881042,42.46252015762083,False,0.022721594353818705,22.721594353818706,168.0,69.0
Josh Minott,2TM,PF,49.0,17.0,7.4,0.9,1.0,2.2,3.2,0.9,0.5,0.9,1.5,0.5,1.3,3.1,0.418,0.627,16.0,0.653,16.8,1.4,1.1,2.5,1.0,2378870.0,15.670588235294119,1.9058823529411764,4.658823529411765,2.1176470588235294,1.9058823529411764,1.0588235294117647,1.9058823529411764,3.1764705882352944,35.57647058823529,42.257562635294114,True,0.027398014371116504,27.398014371116503,169.0,43.0
Jordan Goodwin,PHO,PG,70.0,22.5,8.7,2.2,2.0,2.9,4.9,1.5,0.2,1.0,1.9,0.413,1.6,4.3,0.371,0.514,14.7,0.525,17.5,0.3,1.5,1.8,1.5,2349578.0,13.92,3.52,4.64,3.2,2.4,0.32,1.6,3.04,37.28,42.106125,False,0.027469473903815718,27.469473903815718,170.0,40.0
Rudy Gobert,MIN,C,76.0,31.3,10.9,1.7,3.9,7.5,11.5,0.8,1.6,1.4,2.6,0.682,0.0,0.1,0.0,0.682,17.5,0.664,12.9,0.0,0.9,1.0,1.8,35000000.0,12.536741214057509,1.9552715654952075,8.626198083067093,4.485623003194888,0.9201277955271566,1.8402555910543132,1.610223642172524,2.9904153354632586,38.77188498402556,41.81288197571886,False,0.007067667020848019,7.0676670208480195,171.0,367.0
Deandre Ayton,LAL,C,72.0,27.2,12.5,0.8,2.6,5.4,8.0,0.6,1.0,1.2,2.2,0.671,0.0,0.0,0.0,0.671,18.2,0.676,16.7,0.0,-0.9,-0.9,0.6,33654814.0,16.544117647058826,1.0588235294117647,7.147058823529412,3.4411764705882355,0.7941176470588236,1.3235294117647058,1.5882352941176472,2.9117647058823533,39.540441176470594,41.63730005514706,False,0.007177264690003707,7.177264690003707,172.0,365.0
VJ Edgecombe,PHI,SG,75.0,35.0,16.0,4.2,1.6,4.0,5.6,1.4,0.5,1.8,2.9,0.438,2.0,5.6,0.354,0.51,14.0,0.54,20.1,-0.4,-0.1,-0.5,1.0,11108880.0,16.457142857142856,4.32,4.114285714285714,1.6457142857142857,1.44,0.5142857142857142,1.8514285714285714,2.9828571428571427,38.62800000000001,41.26895898000001,False,0.012381930902274779,12.381930902274778,173.0,231.0
Andre Drummond,PHI,C,63.0,19.5,6.4,1.3,3.2,5.3,8.4,0.6,0.8,1.0,2.0,0.472,0.5,1.4,0.356,0.519,16.4,0.539,14.9,-0.4,-0.2,-0.6,0.4,5000000.0,11.815384615384616,2.4,9.784615384615384,5.907692307692308,1.1076923076923075,1.476923076923077,1.846153846153846,3.692307692307692,40.753846153846155,41.22787226538462,False,0.01843766499061565,18.43766499061565,174.0,114.0
Dru Smith,MIA,SG,70.0,16.3,5.6,2.6,0.9,1.6,2.5,1.4,0.3,0.8,1.6,0.415,0.5,1.8,0.295,0.474,14.5,0.532,15.2,-1.5,3.6,2.2,1.2,2378870.0,12.3680981595092,5.742331288343558,3.5337423312883436,1.9877300613496933,3.0920245398773,0.6625766871165644,1.7668711656441718,3.5337423312883436,36.71779141104294,41.15533748466257,False,0.02668337825313116,26.68337825313116,175.0,49.0
Kenrich Williams,OKC,PF,56.0,15.3,6.5,1.4,1.1,2.3,3.3,0.6,0.1,0.8,1.1,0.473,0.9,2.3,0.388,0.557,14.2,0.569,18.3,-0.1,0.3,0.2,0.5,7163000.0,15.294117647058822,3.2941176470588234,5.411764705882352,2.588235294117647,1.4117647058823528,0.23529411764705882,1.8823529411764706,2.588235294117647,37.62352941176471,40.807156605882355,False,0.015247156539146852,15.247156539146852,176.0,171.0
John Collins,LAC,PF,69.0,27.1,13.6,1.0,1.6,3.7,5.3,0.9,0.7,1.4,2.7,0.552,1.3,3.2,0.406,0.62,16.3,0.643,19.5,0.0,-0.5,-0.5,0.7,26580000.0,18.066420664206642,1.3284132841328413,4.915129151291513,2.125461254612546,1.1955719557195572,0.9298892988929888,1.8597785977859775,3.5867158671586714,37.28856088560886,40.58376380258303,False,0.007871814174903267,7.871814174903267,177.0,355.0
