Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank,PLAYER_ID,HeadshotURL
Trayce Jackson-Davis,GSW,C,36.0,11.4,4.2,0.9,1.3,1.8,3.1,0.4,0.5,0.5,1.1,0.588,0.0,0.0,1.0,0.593,16.0,0.601,14.8,-1.0,0.6,-0.4,0.2,2221677.0,13.26315789473684,2.8421052631578947,5.684210526315789,4.105263157894736,1.263157894736842,1.5789473684210529,1.5789473684210529,3.473684210526316,37.310526315789474,38.50700950263158,False,0.0258344566938265,25.83445669382652,209.0,54.0,1631218.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631218.png
Bilal Coulibaly,WAS,SG,56.0,26.2,11.7,2.6,0.9,3.5,4.3,1.3,1.0,1.4,2.3,0.425,1.2,3.6,0.319,0.485,13.5,0.531,19.9,-1.7,-0.4,-2.1,-0.1,7275600.0,16.076335877862594,3.5725190839694663,4.809160305343512,1.236641221374046,1.7862595419847331,1.3740458015267176,1.9236641221374045,3.16030534351145,38.37709923664122,38.42601274923664,False,0.0142459335867023,14.24593358670236,210.0,188.0,1641731.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641731.png
Moses Moody,GSW,SG,60.0,25.7,12.1,1.6,0.9,2.5,3.3,1.0,0.6,1.0,2.0,0.44,2.5,6.3,0.401,0.575,13.5,0.6,18.3,0.2,-0.3,-0.1,0.7,11574075.0,16.94941634241245,2.241245136186771,3.501945525291829,1.2607003891050583,1.4007782101167314,0.8404669260700389,1.4007782101167314,2.801556420233463,35.54474708171207,38.40360992217899,False,0.0112883093792944,11.28830937929448,211.0,263.0,1630541.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630541.png
Jaden McDaniels,MIN,PF,73.0,31.7,14.8,2.7,1.0,3.2,4.2,1.1,1.0,1.8,3.3,0.515,1.4,3.4,0.412,0.579,14.0,0.611,18.5,-0.9,0.6,-0.3,1.0,24393104.0,16.807570977917983,3.066246056782335,3.6340694006309153,1.135646687697161,1.2492113564668772,1.135646687697161,2.0441640378548898,3.747634069400631,35.55709779179812,38.292880414826506,False,0.0077532627459955,7.753262745995583,212.0,356.0,1630183.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630183.png
Donte DiVincenzo,MIN,SG,82.0,30.4,12.2,3.8,0.8,3.3,4.1,1.3,0.4,1.4,2.4,0.406,3.0,7.9,0.379,0.552,12.5,0.567,16.9,0.0,0.7,0.8,1.7,11990000.0,14.44736842105263,4.5,3.907894736842105,0.9473684210526316,1.5394736842105263,0.4736842105263158,1.657894736842105,2.8421052631578947,35.08223684210527,38.29131171463816,False,0.0110583581726007,11.058358172600792,213.0,271.0,1628978.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628978.png
Tyrese Proctor,CLE,PG,50.0,10.9,5.4,1.5,0.2,1.1,1.3,0.5,0.0,0.8,1.2,0.413,0.9,2.6,0.351,0.516,12.2,0.556,22.0,-2.3,-0.5,-2.8,-0.1,1272870.0,17.834862385321102,4.954128440366973,3.63302752293578,0.6605504587155964,1.6513761467889907,0.0,2.642201834862385,3.9633027522935778,38.08073394495414,38.13549434862387,False,0.0338016075483493,33.801607548349345,214.0,16.0,1642878.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642878.png
Danny Wolf,BRK,PF,57.0,20.8,8.9,2.2,1.0,3.9,4.9,0.5,0.6,1.3,2.2,0.405,1.2,3.7,0.322,0.482,12.3,0.521,20.6,-2.2,-0.3,-2.5,-0.2,2801280.0,15.403846153846152,3.807692307692308,6.75,1.7307692307692306,0.8653846153846153,1.0384615384615383,2.25,3.807692307692308,38.25865384615385,37.87327290000001,False,0.0226284380261736,22.628438026173654,215.0,70.0,1642874.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642874.png
Jabari Smith Jr.,HOU,PF,77.0,35.1,15.8,1.9,1.4,5.5,6.9,0.7,0.9,1.4,2.5,0.45,2.3,6.3,0.363,0.541,13.5,0.57,18.2,-0.5,-0.2,-0.7,0.9,12350392.0,16.205128205128204,1.9487179487179485,5.6410256410256405,1.4358974358974357,0.7179487179487178,0.923076923076923,1.4358974358974357,2.5641025641025643,35.95384615384615,37.63130492307692,False,0.0107080134315677,10.708013431567748,216.0,277.0,1631095.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631095.png
Sam Merrill,CLE,SG,52.0,26.5,12.8,2.4,0.5,2.0,2.6,0.6,0.1,0.8,2.4,0.461,3.0,7.2,0.421,0.624,13.6,0.644,17.0,1.0,-1.0,0.1,0.7,8482144.0,17.38867924528302,3.2603773584905658,2.7169811320754715,0.6792452830188679,0.8150943396226414,0.1358490566037735,1.0867924528301889,3.2603773584905658,34.75698113207547,37.61470012075471,False,0.0129153084666162,12.91530846661627,217.0,216.0,1630241.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630241.png
Alex Caruso,OKC,SG,56.0,18.2,6.2,2.0,0.5,2.3,2.8,1.3,0.3,0.9,1.2,0.423,0.9,3.2,0.293,0.512,12.8,0.54,15.7,-1.4,3.3,1.9,1.0,18102000.0,12.263736263736265,3.956043956043956,4.549450549450549,0.989010989010989,2.571428571428572,0.5934065934065934,1.7802197802197803,2.3736263736263736,33.24065934065935,37.4949109945055,False,0.0088127012279208,8.81270122792087,218.0,338.0,1627936.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png
